,Cluster
10000009,0
10000010,0
10000011,0
10000014,0
10000016,0
10000017,0
11000011,0
11000016,0
12000001,0
13000011,0
13000019,0
13000065,0
14000016,0
14000022,0
15000002,0
15000032,0
15000042,0
15000043,0
15000046,0
15000069,0
15000073,0
15001034,0
16000023,0
16000024,0
16000030,0
16000070,0
16000273,0
16000726,1
16001299,0
16001302,0
17000004,0
17000007,0
18000077,0
19000012,0
19000015,0
19000042,0
20000024,0
20000026,0
2000005,0
21000030,0
21000040,0
21000062,0
21000072,0
21000084,0
21000085,0
21000089,0
21000090,0
21000413,0
21000461,0
21000467,0
21000487,0
21000528,2
21000548,0
21000572,0
21000648,0
21000665,0
21000666,0
21000712,0
21000745,0
21000752,0
21000759,0
21000786,2
21000794,0
21000803,0
21000872,0
21001663,0
21006036,2
21006037,0
21006038,0
21006462,0
21006467,0
22000043,0
22000048,0
22000050,2
22000053,0
22000062,0
22000225,0
24000050,0
24000149,0
25000018,2
25000020,0
25000021,0
25000075,0
25000078,0
25000082,0
25000085,2
25000086,0
25000097,0
25000642,2
25000733,0
25001085,0
26000080,0
26000082,0
26000096,0
27000002,0
27000004,0
27000035,0
27000045,0
28000001,0
29000009,0
3000002,0
3000003,0
30000052,0
30000215,0
31000017,0
31000027,0
31000031,0
31000032,0
32000001,0
32000004,0
32000013,2
32000022,0
33000003,0
33000004,0
34000002,0
34000003,0
34000019,0
34000023,0
34000024,0
34000260,0
34000469,0
35000006,0
35000010,0
35000013,0
35000018,0
36000008,0
36000009,0
36000012,0
36000018,0
37000011,0
37000034,2
37000038,0
38000023,0
38000024,0
38000052,0
39000001,0
39000002,0
40000001,0
4000002,0
4000005,0
41000012,0
41000014,0
41000016,0
41000020,0
41000124,0
41000129,0
41000695,2
42000012,0
42000014,0
42000017,0
42000019,0
42000020,0
42000021,0
42000022,0
42000074,0
43000001,0
43000003,0
44000021,0
45000002,0
45000003,0
45000004,0
45000005,0
45000034,0
45000035,0
45000043,0
45000045,0
45000058,0
45000059,0
45000090,0
46000001,0
46000017,0
46000018,0
46000019,0
46000030,0
47000001,0
47000036,0
47000037,0
47000060,0
47000061,0
47000422,0
47000429,0
47001025,0
48000004,0
48000007,0
48000010,0
48000011,0
48000317,0
49000054,0
49000057,0
49000061,0
49000066,0
49000094,0
5000003,0
50000046,0
50000048,0
50000051,0
50000055,0
50000056,0
50000057,0
50000058,0
51000002,0
51000024,0
51000026,0
52000020,0
52000025,0
52000029,0
52000033,0
52000039,0
52000063,0
52000068,0
52000198,0
52000199,0
52000935,0
53000010,0
53000011,0
53000028,0
54000002,0
55000015,0
55000017,0
55000018,0
55000444,0
55000445,0
56000001,0
56000002,0
56000003,0
56000005,0
56000006,0
56000007,0
56000070,0
56000071,0
56000073,0
57000044,0
57000049,0
57000050,0
57000052,0
57000055,0
57000057,0
57000058,0
57000063,0
57001002,0
58000019,0
58000047,0
59000006,0
6000001,0
60000027,0
60000029,0
60000031,0
60000035,0
60000036,0
61000012,0
61000013,0
62000012,0
62000014,0
62000015,0
62000022,0
63000007,0
64000025,0
66000014,0
66000034,0
67000017,0
67000018,0
67000019,0
67000030,0
7000003,0
8000001,0
9000001,0
9000015,0
25000592,0
