,Cluster
10000009,-1
62000014,-1
62000022,-1
63000007,-1
64000025,-1
66000014,-1
66000034,-1
67000017,-1
67000018,-1
67000019,-1
67000030,-1
7000003,-1
7000333,-1
8000001,-1
9000015,-1
13000065,-1
13000430,-1
10000010,-1
10000011,-1
10000014,-1
10000016,-1
10000017,-1
1000102,-1
1000315,-1
11000011,-1
11000016,-1
11000204,-1
12000001,-1
12000519,-1
13000011,-1
13000019,-1
16000023,-1
16000024,-1
16000030,-1
16000053,-1
16000054,-1
16000070,-1
16000123,-1
16000215,-1
16001095,-1
16001309,-1
17000004,-1
17000007,-1
17002092,-1
18000041,-1
18000077,-1
19000012,-1
19000015,-1
19000016,-1
19000075,-1
19000214,-1
20000021,-1
20000024,-1
61000094,-1
20000026,-1
2000005,-1
2000006,-1
2000014,-1
20000308,-1
20000856,-1
21000020,-1
21000030,-1
21000040,-1
21000061,-1
21000062,-1
21000072,-1
21000084,-1
21000085,-1
21000089,-1
21000090,-1
21000413,-1
21000446,-1
21000461,-1
21000487,-1
21000528,-1
21000548,-1
21000572,-1
21000587,-1
21000591,-1
21000643,-1
21000648,-1
21000665,-1
21000666,-1
21000712,-1
21000745,-1
21000752,-1
21000759,-1
21000780,-1
21000782,-1
21000783,-1
21000786,-1
21000788,-1
21000790,-1
21000791,-1
21000793,-1
21000794,-1
21000799,-1
21000800,-1
21000803,-1
21000806,-1
21000872,-1
21000923,-1
21001659,-1
21001663,-1
21006549,-1
22000043,-1
22000046,-1
22000048,-1
22000050,-1
22000053,-1
22000054,-1
62000012,-1
14000016,-1
14000022,-1
14000219,-1
15000032,-1
22000234,-1
22000336,-1
22000419,-1
22000640,-1
22001540,-1
15000034,-1
22001542,-1
23000002,-1
23000083,-1
23000087,-1
23000587,-1
23000994,-1
24000050,-1
25000018,-1
25000019,-1
25000020,-1
25000021,-1
25000075,-1
25000078,-1
15000042,-1
25000085,-1
25000086,-1
25000087,-1
25000091,-1
15000043,-1
25000275,-1
25000362,-1
25000483,-1
25000629,-1
25000639,-1
15000044,-1
25000733,-1
15000046,-1
25003595,-1
25003597,-1
25003599,-1
26000080,-1
26000082,-1
26000096,-1
15000048,-1
15000069,-1
27000004,-1
27000021,-1
15000073,-1
27000045,-1
15000104,-1
15001056,-1
9000172,-1
9000293,-1
27000975,-1
28000001,-1
28000051,-1
29000009,-1
29000232,-1
29000535,-1
3000002,-1
3000003,-1
30000215,-1
31000016,-1
31000021,-1
31000023,-1
31000027,-1
31000032,-1
31001108,-1
32000001,-1
32000002,-1
32000004,-1
32000013,-1
32000022,-1
33000003,-1
33000004,-1
33000318,-1
34000002,-1
34000003,-1
34000019,-1
34000023,-1
35000006,-1
35000008,-1
35000010,-1
35000013,-1
35000018,-1
36000012,-1
36000018,-1
36000061,-1
36000192,-1
37000011,-1
37000034,-1
37000038,-1
37000039,-1
38000023,-1
38000052,-1
39000001,-1
39000002,-1
40000001,-1
4000005,-1
40000165,-1
41000012,-1
41000014,-1
41000016,-1
41000020,-1
41000024,-1
41000391,-1
42000014,-1
42000020,-1
42000074,-1
42000366,-1
43000003,-1
43000007,-1
43000408,-1
43000432,-1
44000020,-1
44000021,-1
44000590,-1
45000005,-1
45000034,-1
45000043,-1
45000044,-1
45000090,-1
45000117,-1
45001404,-1
45001412,-1
46000018,-1
46000020,-1
46000608,-1
46000641,-1
46000642,-1
47000037,-1
47000659,-1
47001065,-1
47001141,-1
48000004,-1
48000006,-1
48000007,-1
48000010,-1
48000011,-1
49000054,-1
49000057,-1
49000061,-1
49000066,-1
49000094,-1
49000146,-1
5000003,-1
50000045,-1
50000048,-1
50000051,-1
50000056,-1
50000057,-1
50000058,-1
5000078,-1
51000001,-1
51000026,-1
51000245,-1
51000261,-1
52000020,-1
52000025,-1
52000029,-1
52000033,-1
52000039,-1
52000040,-1
52000063,-1
52000198,-1
52000199,-1
52000425,-1
52001041,-1
53000010,-1
53000011,-1
53000028,-1
53000618,-1
54000002,-1
55000015,-1
56000005,-1
9000451,-1
57000044,-1
57000053,-1
57000063,-1
57000121,-1
58000047,-1
59000005,-1
59000006,-1
6000001,-1
60000027,-1
60000029,-1
60000031,-1
60000036,-1
60000037,-1
60000212,-1
60000650,-1
6000306,-1
6000427,-1
6000428,-1
61000011,-1
61000012,-1
61000013,-1
42000022,0
55000018,0
51000002,0
51000024,0
55000051,0
46000019,0
46000030,0
45000002,0
56000007,0
45000003,0
45000004,0
42001011,0
52000068,0
45000058,0
43000001,0
45000804,0
43000246,0
46000001,0
57000050,0
56000003,0
55000017,0
57000058,0
57000059,0
20000025,1
22000057,1
22000062,1
22000158,1
22000194,1
22000225,1
22001541,1
25000097,1
25000716,1
25001614,1
25000082,1
27000002,2
27000003,2
27000035,2
27000055,2
27000615,2
27000638,2
27000671,2
57000055,3
56000001,3
56000002,3
56000006,3
57000048,3
57000049,3
36000009,4
38000107,4
38000024,4
36000008,4
38000047,4
44000191,5
47000001,5
47000036,5
45000047,5
46000017,5
42000478,6
42000021,6
42000379,6
42000012,6
