,Cluster
10000009,0
10000010,0
10000011,0
10000014,0
10000016,0
10000017,0
1000102,1
1000315,1
11000011,1
11000016,1
11000204,1
12000001,0
12000519,0
13000011,0
13000019,0
13000055,0
13000065,0
13000430,0
14000016,0
14000022,0
14000219,1
15000002,0
15000032,1
15000034,0
15000042,0
15000043,0
15000044,0
15000046,0
15000048,1
15000069,0
15000073,0
15000280,1
15001056,0
16000023,0
16000024,1
16000030,0
16000053,1
16000070,0
16000215,1
16001095,1
16001309,0
17000004,0
17000007,0
17002092,0
18000005,0
18000041,0
18000077,0
19000012,0
19000015,0
19000016,0
19000075,0
19000214,0
20000021,1
20000024,0
20000025,0
20000026,0
2000005,1
2000006,1
2000014,1
20000308,1
21000020,0
21000030,0
21000040,0
21000061,1
21000062,1
21000072,0
21000084,1
21000085,1
21000087,1
21000089,1
21000090,1
21000413,0
21000446,0
21000461,1
21000467,1
21000487,1
21000528,1
21000548,0
21000572,0
21000591,0
21000643,1
21000648,0
21000665,0
21000666,0
21000672,0
21000712,1
21000745,0
21000752,0
21000759,0
21000786,1
21000794,1
21000800,2
21000803,0
21000806,0
21000872,1
21000923,0
21001449,1
21001659,0
21006467,1
21006549,0
22000043,0
22000046,1
22000048,0
22000050,1
22000053,0
22000054,1
22000057,1
22000062,1
22000158,1
22000194,1
22000225,1
22000234,1
22000640,0
22001540,1
22001541,1
22001542,1
23000002,0
23000083,0
23000087,0
23000994,0
24000050,0
24000061,0
25000019,0
25000020,0
25000021,0
25000075,1
25000078,1
25000082,1
25000085,2
25000086,1
25000087,1
25000091,1
25000097,1
25000275,0
25000362,0
25000483,1
25000629,1
25000639,1
25000707,0
25000716,1
25000733,0
25001614,1
25003595,1
25003596,1
25003597,1
25003599,1
26000080,0
26000082,0
26000096,0
27000002,0
27000003,1
27000004,0
27000021,0
27000035,0
27000045,1
27000055,0
27000615,0
27000638,0
27000671,0
27000975,1
28000001,1
29000009,1
29000232,0
29000535,0
3000002,1
3000003,1
30000052,1
30000215,1
31000016,1
31000021,1
31000023,1
31000027,1
31000031,0
31000032,1
31001108,1
32000001,1
32000002,1
32000004,1
32000013,2
32000022,1
33000003,0
33000004,1
33000318,0
34000002,1
34000003,1
34000019,1
34000023,0
34000024,0
35000008,1
35000013,1
35000018,1
36000008,1
36000009,1
36000012,1
36000018,0
36000061,1
36000192,1
37000011,0
37000034,1
37000038,1
37000039,1
37000261,1
38000023,1
38000024,1
38000047,1
38000052,1
38000107,1
39000001,1
39000002,1
40000001,1
4000002,1
4000005,1
40000165,1
41000012,0
41000014,1
41000016,0
41000020,1
41000024,0
41000391,1
42000012,1
42000014,0
42000017,0
42000019,0
42000020,0
42000021,1
42000022,0
42000074,1
42000366,1
42000379,1
42000478,1
42001011,2
43000001,0
43000003,0
43000007,0
43000408,0
43000432,0
44000020,0
44000021,0
44000191,0
45000002,1
45000003,1
45000004,1
45000005,0
45000034,0
45000035,0
45000043,0
45000044,0
45000045,0
45000047,0
45000058,0
45000090,0
45000117,1
45000804,1
45001337,0
45001404,0
45001412,0
46000001,1
46000017,0
46000018,0
46000019,0
46000020,0
46000030,1
46000608,1
46000641,0
46000642,0
47000001,1
47000036,1
47000037,1
47000092,0
47000659,0
47001065,1
48000006,0
48000007,0
48000010,0
48000011,0
49000054,0
49000057,0
49000061,0
49000066,0
49000094,0
5000003,1
50000045,0
50000046,0
50000048,0
50000051,0
50000056,0
50000057,0
50000058,0
51000002,0
51000024,0
51000026,0
51000245,0
52000020,0
52000025,0
52000029,0
52000033,0
52000039,0
52000040,0
52000063,0
52000068,0
52000198,0
52000199,0
52001041,0
53000010,0
53000028,0
53000029,0
53000618,0
54000002,0
54000009,0
54000184,0
55000015,0
55000017,0
55000018,0
56000001,0
56000002,0
56000003,0
56000005,0
56000006,0
56000007,0
57000044,0
57000048,0
57000049,0
57000050,0
57000052,0
57000053,0
57000055,0
57000058,1
57000059,1
57000063,0
57000085,0
57000121,0
58000019,0
58000047,0
59000005,0
59000006,0
6000001,1
60000027,0
60000029,0
60000031,0
60000035,0
60000036,0
60000037,0
6000306,0
61000011,0
61000012,0
61000013,0
62000012,0
62000014,0
62000015,0
62000017,0
62000022,0
63000007,0
64000025,0
66000014,0
66000034,1
67000017,1
67000018,1
67000019,1
67000030,1
7000003,1
7000099,0
7000333,0
8000001,1
9000001,1
9000015,1
9000172,0
9000173,1
9000293,1
9000451,0
